Name;Parent;LFB;Alias
Technische Universität Braunschweig;;;TUBS
Carl-Friedrich-Gauß-Fakultät;TUBS;;F1
Fakultät für Lebenswissenschaften;TUBS;;F2
Fakultät Architektur, Bauingenieurwesen und Umweltwissenschaften;TUBS;;F3
Fakultät für Maschinenbau;TUBS;;F4
Fakultät für Elektrotechnik, Informationstechnik und Physik;TUBS;;F5
Fakultät für Geistes- und Erziehungswissenschaften;TUBS;;F6
Cluster of Excellence SE2A;F4;MEC;
Institut Computational Mathematics;F1;MAT;
Institut für Adaptronik und Funktionsintegration;F4;MEC;
Institut für Akustik;F4;MEC;
Institut für Analysis und Algebra;F1;MAT;
Institut für Angewandte Mechanik;F3;CIV;
Institut für Angewandte Physik;F5;PHY;
Institut für Anglistik und Amerikanistik;F6;ANG;
Institut für Anorganische und Analytische Chemie;F2;CHE;
Institut für Automobilwirtschaft und Industrielle Produktion;F1;ECO;
Institut für Bauklimatik und Energie der Architektur;F3;ARC;
Institut für Baukonstruktion und Holzbau;F3;CIV;
Institut für Baustoffe, Massivbau und Brandschutz;F3;CIV;
Institut für Bauwirtschaft und Baubetrieb;F3;CIV;
Institut für Betriebssysteme und Rechnerverbund;F1;COM;
Institut für Biochemie, Biotechnologie und Bioinformatik;F2;BIO;
Institut für Bioverfahrenstechnik;F4;MEC;
Institut für Chemische und Thermische Verfahrenstechnik;F4;MEC;
Institut für CMOS Design;F5;ELE;
Institut für Computergraphik;F1;COM;
Institut für Controlling und Unternehmensrechnung;F1;ECO;
Institut für Datentechnik und Kommunikationsnetze;F5;ELE;
Institut für Dynamik und Schwingungen;F4;MEC;
Institut für Eisenbahnwesen und Verkehrssicherung;F3;CIV;
Institut für Elektrische Maschinen, Antriebe und Bahnen;F5;ELE;
Institut für Elektrische Messtechnik und Grundlagen der Elektrotechnik;F5;ELE;
Institut für Elektromagnetische Verträglichkeit;F5;ELE;
Institut für Energie- und Systemverfahrenstechnik;F4;MEC;
Institut für Erziehungswissenschaft;F6;EDU;
Institut für Fachdidaktik der Naturwissenschaften, Abteilung Biologie und Biologiedidaktik;F6;BIO;
Institut für Fachdidaktik der Naturwissenschaften, Abteilung Chemie und Chemiedidaktik;F6;CHE;
Institut für Fachdidaktik der Naturwissenschaften, Abteilung Physik und Physikdidaktik;F6;PHY;
Institut für Fahrzeugtechnik;F4;MEC;
Institut für Festkörpermechanik;F4;MEC;
Institut für Finanzwirtschaft;F1;ECO;
Institut für Flugantriebe und Strömungsmaschinen;F4;MEC;
Institut für Flugführung;F4;MEC;
Institut für Flugzeugbau und Leichtbau;F4;MEC;
Institut für Füge- und Schweißtechnik;F4;MEC;
Institut für Gebäude- und Solartechnik;F3;ARC;
Institut für Genetik;F2;BIO;
Institut für Geodäsie und Photogrammetrie;F3;CIV;
Institut für Geomechanik und Geotechnik;F3;CIV;
Institut für Geoökologie;F3;GEO;
Institut für Geophysik und Extraterrestrische Physik;F5;PHY;
Institut für Geosysteme und Bioindikation;F3;GEO;
Institut für Germanistik;F6;GER;
Institut für Geschichte und Theorie von Architektur und Stadt;F3;ARC;
Institut für Geschichtswissenschaft;F6;HIS;
Institut für Halbleitertechnik;F5;ELE;
Institut für Hochfrequenztechnik;F5;ELE;
Institut für Hochspannungstechnik und Energiesysteme;F5;ELE;
Institut für Informationssysteme;F1;COM;
Institut für Intermodale Transport- und Logistiksysteme;F4;MEC;
Institut für Internationale Beziehungen;F1;SOC;
Institut für Kommunikationswissenschaft;F1;SOC;
Institut für Konstruktionstechnik;F4;MEC;
Institut für Lebensmittelchemie;F2;CHE;
Institut für Marketing;F1;ECO;
Institut für Mathematische Optimierung;F1;MAT;
Institut für Mathematische Physik;F5;PHY;
Institut für Mathematische Stochastik;F1;MAT;
Institut für Mechanik und Adaptronik;F4;MEC;
Institut für Medizinische und Pharmazeutische Chemie;F2;PHA;
Institut für Mikrobiologie;F2;BIO;
Institut für Mikrotechnik;F4;MEC;
Institut für Mobile Maschinen und Nutzfahrzeuge;F4;MEC;
Institut für Nachhaltigen Städtebau;F3;ARC;
Institut für Nachrichtentechnik;F5;ELE;
Institut für Oberflächentechnik;F4;MEC;
Institut für Ökologische und Nachhaltige Chemie;F2;CHE;
Institut für Organische Chemie;F2;CHE;
Institut für Pädagogische Psychologie;F6;EDU;
Institut für Partielle Differentialgleichungen;F1;MAT;
Institut für Partikeltechnik;F4;MEC;
Institut für Pflanzenbiologie;F2;BIO;
Institut für Pharmakologie, Toxikologie und Klinische Pharmazie;F2;PHA;
Institut für Pharmazeutische Biologie;F2;PHA;
Institut für Pharmazeutische Technologie und Biopharmazie;F2;PHA;
Institut für Philosophie;F6;PHI;
Institut für Physik der Kondensierten Materie;F5;PHY;
Institut für Physikalische und Theoretische Chemie;F2;CHE;
Institut für Produktionsmesstechnik;F4;MEC;
Institut für Psychologie;F2;PSY;
Institut für Raumfahrtsysteme;F4;MEC;
Institut für Rechnergestützte Modellierung im Bauingenieurwesen;F3;CIV;
Institut für Regelungstechnik;F5;ELE;
Institut für Robotik und Prozessinformatik;F1;COM;
Institut für Siedlungswasserwirtschaft;F3;CIV;
Institut für Softwaretechnik und Fahrzeuginformatik;F1;COM;
Institut für Sozialwissenschaften;F1;SOC;
Institut für Soziologie;F1;SOC;
Institut für Sportwissenschaft und Bewegungspädagogik;F6;SPO;
Institut für Stahlbau;F3;CIV;
Institut für Statik;F3;CIV;
Institut für Statik und Dynamik;F3;MEC;
Institut für Straßenwesen;F3;CIV;
Institut für Strömungsmechanik;F4;MEC;
Institut für Technische Chemie;F2;CHE;
Institut für Theoretische Informatik;F1;COM;
Institut für Theoretische Physik;F5;PHY;
Institut für Thermodynamik;F4;MEC;
Institut für Tragwerksentwurf;F3;ARC;
Institut für Unternehmensführung und Organisation;F1;ECO;
Institut für Verbrennungskraftmaschinen;F4;MEC;
Institut für Vergleichende Regierungslehre und Politikfeldanalyse;F1;SOC;
Institut für Verkehr und Stadtbauwesen;F3;CIV;
Institut für Verkehrssicherheit und Automatisierungstechnik;F4;MEC;
Institut für Verkehrswesen, Eisenbahnbau und -betrieb;F3;CIV;
Institut für Volkswirtschaftslehre;F1;ECO;
Institut für Werkstoffe;F4;MEC;
Institut für Werkzeugmaschinen und Fertigungstechnik;F4;MEC;
Institut für Wirtschaftsinformatik, Abteilung Decision Support;F1;ECO;
Institut für Wirtschaftsinformatik, Abteilung Informationsmanagement;F1;ECO;
Institut für Wirtschaftsinformatik, Abteilung Service-Informationssysteme;F1;ECO;
Institut für Wissenschaftliches Rechnen;F1;COM;
Leichtweiß-Institut für Wasserbau;F3;CIV;
Peter L. Reichertz Institut für Medizinische Informatik;F1;COM;
Projekthaus;other;NOS;
Universitätsbibliothek;other;NOS;
Zoologisches Institut;F2;BIO;
