e_issn,journal_title,license,publisher
0018-1005,Hesperis-Tamuda,CC BY,Mohamed V University of Rabat
0068-3175,Analele Universităţii Bucureşti: Filosofie (Annals of the University of Bucharest: Philosophy Series),CC BY,Bucharest University Press
0120-1751,Revista Colombiana de Estadística,CC BY,Universidad Nacional de Colombia
0124-5821,Revista Virtual Universidad Católica del Norte,CC BY-NC-ND,Universitaria Católica del Norte
0127-9483,UUM Journal of Legal Studies (UUM JLS),CC BY,UUM Press
0127-9750,Journal of ICT in Education (JICTIE),CC BY-NC-SA,Pejabat Karang Mengarang UPSI
0127-984X,Journal of Clinical and Health Sciences,"CC BY, CC BY-NC-ND",UiTM Press
0128-0384,Asian Journal of Accounting Perspectives (AJAP),Publisher's own license,Universiti Malaya
0128-1852,International Journal of Engineering Materials and Manufacture,CC BY,Deer Hill Publications
0128-2972,Borneo Journal of Resource Science and Technology (BJRST),CC BY-NC,UNIMAS Publisher
0186-7202,Estudios Económicos,CC BY-NC-ND,"El Colegio de México, A.C."
0211-8483,Boletín de Arte (Boletín de Arte - UMA),CC BY-NC-SA,Universidad de Málaga
0717-3458,Electronic Journal of Biotechnology,"CC BY, CC BY-NC-ND",Elsevier
0717-5000,CLEI Electronic Journal,CC BY,Centro Latinoamericano de Estudios en Informática
0717-5051,Revista de Urbanismo (Revista Electrónica del Departamento de Urbanismo),CC BY-NC-ND,Universidad de Chile
0717-554X,Cinta de Moebio: Revista de Epistemologia de Ciencias Sociales,CC BY,Universidad de Chile
0717-621X,Literatura y Lingüística,CC BY-NC-ND,Universidad Católica Cardenal Raul Silva Henríquez
0717-6236,EURE (Santiago) - Revista Latinoamericana de Estudios Urbano Regionales,CC BY,Pontificia Universidad Católica de Chile
0717-6252,Revista Musical Chilena,CC BY-NC-SA,Universidad de Chile
0717-6287,Biological Research,"CC BY, CC0",BMC
0717-6317,Revista Chilena de Historia Natural (RCHN),CC BY,BMC
0717-6384,Medwave,CC BY-NC,Medwave Estudios Limitada
0717-6538,Gayana,CC BY-NC,Universidad de Concepción
0717-6643,Gayana: Botanica,CC BY-NC,Universidad de Concepción
0717-6996,ARQ,CC BY-NC,Ediciones ARQ
0717-7194,Historia (Santiago) (Historia-UC),Publisher's own license,Instituto de Historia
0717-7526,Revista Chilena de Obstetricia y Ginecología,CC BY-NC-ND,Permanyer
0717-8980,"Estado, Gobierno y Gestión Pública",CC BY,"Universidad de Chile, Facultad de Gobierno"
0717-9308,Revista Chilena de Radiología,CC BY-NC-ND,Permanyer
0717-9758,Diseño Urbano y Paisaje,CC BY,Universidad Central de Chile
0718-0012,Ius et Praxis,CC BY,Universidad de Talca
0718-0527,Revista Mad (Revista del Magíster en Análisis Sistémico Aplicado a la Sociedad),CC BY-NC,Universidad de Chile
0718-1043,Estudios Atacameños,CC BY,Universidad Católica del Norte
0718-1876,Journal of Theoretical and Applied Electronic Commerce Research,CC BY,MDPI AG
0718-221X,Maderas: Ciencia y Tecnología,CC BY,Universidad del Bío-Bío
0718-2228,Psykhe,CC BY,Pontificia Universidad Católica de Chile
